fracPartialStops,SwarmCohesion,TargetKnowledge,TerrainKnowledge
0.0180568095006598,1,1,1
0.0188207514410723,1,2,1
0.0314605180915341,1,1,2
0.0288035450516987,1,2,2
0.081963249516441,2,1,1
0.0518091534134315,2,2,1
0.0838947149107577,2,1,2
0.0377073906485671,2,2,2
0.131555555555556,1,1,1
0.0398370303304663,1,2,1
0.00769556622423044,1,1,2
0.0106045831301804,1,2,2
0.0270786874800892,2,1,1
0.198529411764706,2,2,1
0.0490988191423244,2,1,2
0.0669313669880885,2,2,2
0.0290829430427557,1,1,1
0.0185442365819786,1,2,1
0.0873424657534247,1,1,2
0.132835820895522,1,2,2
0.143446852425181,2,1,1
0.0400421496311907,2,2,1
0.0460970464135021,2,1,2
0.0188470066518847,2,2,2
0.0721577887353288,1,1,1
0.134675151694539,1,2,1
0.112299465240642,1,1,2
0.101257031738315,1,2,2
0.325578165150358,2,1,1
0.110154905335628,2,2,1
0.0998749826364773,2,1,2
0.0942426557399819,2,2,2
0.00876612636453854,1,1,1
0.0216739912105473,1,2,1
0.0204697986577181,1,1,2
0.00805611500798667,1,2,2
0.0295853878741579,2,1,1
0.0179863147605083,2,2,1
0.0723488602576809,2,1,2
0.0153301886792453,2,2,2
0.00470698987997176,1,1,1
0.0518307180218735,1,2,1
0.00375668256032365,1,1,2
0.0385756676557863,1,2,2
0.184615384615385,2,1,1
0.0284005979073244,2,2,1
0.041015625,2,1,2
0.0166270783847981,2,2,2
0.233610341643583,1,1,1
0.0177701347090857,1,2,1
0.0124175397749321,1,1,2
0.119429590017825,1,2,2
0.0484755885825405,2,1,1
0.0311111111111111,2,2,1
0.115337423312883,2,1,2
0.0192816635160681,2,2,2
0.0192326466855413,1,1,1
0.0130526315789474,1,2,1
0.0048358733880422,1,1,2
0.031434184675835,1,2,2
0.0333333333333333,2,1,1
0.0720588235294118,2,2,1
0.0737116764514025,2,1,2
0.0179554011004923,2,2,2
0.0055098556573025,1,1,1
0.0738738738738739,1,2,1
0.00669240669240669,1,1,2
0.00335750738651625,1,2,2
0.0058108253524158,2,1,1
0.0739938639234795,2,2,1
0.0326678765880218,2,1,2
0.0280038295835328,2,2,2
0.0628498134328358,1,1,1
0.0641144522453305,1,2,1
0.0523035989357233,1,1,2
0.0187484479761609,1,2,2
0.0631988332523092,2,1,1
0.0574850299401198,2,2,1
0.0776912505726065,2,1,2
0.0258139534883721,2,2,2
0.0963183697010478,1,1,1
0.0800732097918097,1,2,1
0.128756033006383,1,1,2
0.284035259549461,1,2,2
0.132495164410058,2,1,1
0.0371314903600938,2,2,1
0.0652696934419868,2,1,2
0.0221273291925466,2,2,2
0.0141632944537015,1,1,1
0.0254167805411315,1,2,1
0.0664830841856806,1,1,2
0.00670836732843804,1,2,2
0.074468085106383,2,1,1
0.242225859247136,2,2,1
0.00763941940412529,2,1,2
0.085282893645263,2,2,2
0.0020834780193069,1,1,1
0.0026525198938992,1,2,1
0.00780891134588884,1,1,2
0.00300136425648022,1,2,2
0.0625781358522017,2,1,1
0.0122246429435972,2,2,1
0.0308354746857421,2,1,2
0.0139240506329114,2,2,2
0.0963513218265239,1,1,1
0.169020111253744,1,2,1
0.0328992460589445,1,1,2
0.124725676664228,1,2,2
0.0396662387676508,2,1,1
0.189303904923599,2,2,1
0.113134793666421,2,1,2
0.128075931567846,2,2,2
0.0121536217792902,1,1,1
0.0116674769081186,1,2,1
0.0710382513661202,1,1,2
0.130885650224215,1,2,2
0.12348401323043,2,1,1
0.034203506097561,2,2,1
0.0825751788318633,2,1,2
0.101743176609487,2,2,2
0.148968678380443,1,1,1
0.529993408042189,1,2,1
0.0679213834294048,1,1,2
0.0333356483089103,1,2,2
0.0787554691298007,2,1,1
0.0597014925373134,2,2,1
0.109590943815543,2,1,2
0.0197859882899253,2,2,2
0.0343079380512536,1,1,1
0.0442330558858502,1,2,1
0.038058198486006,1,1,2
0.0213663199325274,1,2,2
0.0389537494387068,2,1,1
0.294389438943894,2,2,1
0.0472972972972973,2,1,2
0.0480020426401123,2,2,2
0.0474623372824338,1,1,1
0.0180799842782745,1,2,1
0.0843478260869565,1,1,2
0.0304268846503179,1,2,2
0.0655580428525744,2,1,1
0.0430419268510259,2,2,1
0.0477651183172656,2,1,2
0.132505175983437,2,2,2
0.00775381633147565,1,1,1
0.00232558139534884,1,2,1
0.00341938792956061,1,1,2
0.0332871012482663,1,2,2
0.00271886895051659,2,1,1
0.0258964143426295,2,2,1
0.0110785953177258,2,1,2
0.0174672489082969,2,2,2
0.0979474252790781,1,1,1
0.119510008963251,1,2,1
0.0851538118591173,1,1,2
0.0624559755811223,1,2,2
0.304202801867912,2,1,1
0.0487444608567208,2,2,1
0.130773845230954,2,1,2
0.21814368117462,2,2,2
