performance,SwarmCohesion,TargetKnowledge,TerrainKnowledge
56.43258,1,2,2
172.34715,2,1,1
55.28262,2,2,2
46.8841218,1,1,1
92.0681344,1,2,1
590.1727695,1,1,2
341.8408264,1,2,2
130.8020316,2,1,1
22.6837105,2,2,1
67.0511,2,1,2
73.48464,2,2,2
551.60705,1,1,1
510.057012,1,2,1
380.24235,1,1,2
55.8659545,1,2,2
40.3995,2,1,1
39.5661598,2,2,1
395.01175,2,1,2
75.19894,2,2,2
281.56365,1,2,1
72.63233,2,2,1
251.9375237,1,1,1
417.1928296,1,2,1
248.3541156,1,1,2
213.13375,2,2,1
84.11801,2,1,2
106.01845,2,2,2
177.0473308,1,1,1
262.8958169,1,2,1
288.4111087,1,1,2
42.1660959,1,2,2
32.5328487,2,1,1
27.8995996,2,2,1
42.6995424,2,1,2
157.8805233,2,2,2
45.14937,1,1,1
436.16145,1,2,1
322.14425,1,1,2
23.4163373,1,2,2
18.78311,2,2,1
33.99948,2,1,2
110.2147117,2,2,2
426.82995,1,1,1
98.9984221,1,2,1
284.362121,1,1,2
21.2163863,1,2,2
47.51602,2,1,1
28.3495857,2,2,1
63.8992234,2,1,2
143.88065,2,2,2
536.93815,1,1,1
46.2660301,1,2,1
161.8971162,1,1,2
310.2610271,1,2,2
387.21375,2,1,1
230.89535,2,2,1
22.9830058,2,1,2
348.19185,2,2,2
357.34555,1,1,1
314.5787193,1,2,1
595.09985,1,1,2
335.5955285,1,2,2
34.8328216,2,2,1
454.81465,2,1,2
179.19675,2,2,2
433.4966189,1,1,1
182.13685,1,2,1
267.6453091,1,1,2
42.566064,1,2,2
43.11607,2,1,1
408.4814321,2,2,1
536.9148291,2,1,2
107.3485305,2,2,2
350.1135138,1,1,1
152.48055,1,2,1
105.94805,1,1,2
459.6495074,1,2,2
43.11603,2,1,1
25.4829334,2,2,1
251.16105,2,2,2
188.5303122,1,2,1
90.7150085,1,1,2
152.71405,1,2,2
344.2501255,2,2,1
32.93284,2,2,2
190.7131914,1,1,1
97.39834,1,2,1
425.56355,1,1,2
341.76445,1,2,2
324.5991177,2,1,1
98.1985624,2,2,1
507.9101226,2,1,2
355.609708,2,2,2
152.5356296,1,1,2
148.68555,1,2,2
75.6178358,2,1,1
437.35965,2,2,1
126.4480107,1,2,1
50.28269,2,2,1
206.4129321,2,2,2
175.2468253,1,2,1
148.2473184,1,2,2
371.1927242,2,1,1
63.16583,2,2,1
86.3653762,2,1,2
326.377523,2,2,2
569.75535,1,1,1
424.0651296,1,2,1
191.6793212,1,1,2
91.7819628,1,2,2
130.297732,2,1,1
186.8460271,2,2,1
95.09852,2,1,2
60.382548,2,2,2
171.96385,1,1,1
358.3628159,1,2,1
243.7456298,1,1,2
30.06621,1,2,2
229.87915,2,1,1
20.9497012,2,2,1
598.0256208,2,1,2
28.6495787,2,2,2
231.4459163,1,1,1
139.4809162,1,2,1
186.92935,1,1,2
532.3984327,1,2,2
62.4659425,2,1,1
28.21623,2,2,1
138.93135,2,1,2
79.49889,2,2,2
