avgSpeed,SwarmCohesion,TargetKnowledge,TerrainKnowledge
20.1335310352657,1,2,2
9.5997122064814,2,1,1
15.9810834193562,2,2,2
21.8014221020199,1,1,1
42.8779090732304,1,2,1
39.3920572346247,1,1,2
39.2938497525502,1,2,2
40.6675497395576,2,1,1
33.8369205554133,2,2,1
32.2986443673834,2,1,2
29.0095332197111,2,2,2
24.5755669208701,1,1,1
22.5796283610863,1,2,1
30.7935682944247,1,1,2
18.9950713550461,1,2,2
14.8547613970368,2,1,1
20.6255500204778,2,2,1
32.0706145677114,2,1,2
20.4407852720308,2,2,2
20.8848127439234,1,2,1
15.0860436637019,2,2,1
34.2960633935906,1,1,1
29.0915771186035,1,2,1
40.2727423446334,1,1,2
32.5931891390912,2,2,1
26.3051967696623,2,1,2
25.7984334570028,2,2,2
30.5806790573808,1,1,1
24.5099136940734,1,2,1
28.6918491122762,1,1,2
23.274703558087,1,2,2
24.6847994071659,2,1,1
26.5960325319268,2,2,1
23.4778952601933,2,1,2
22.2718292783276,2,2,2
19.9171649244931,1,1,1
28.5295363721451,1,2,1
32.2851796014804,1,1,2
30.6450052586313,1,2,2
36.6968035613877,2,2,1
26.9644895774668,2,1,2
24.554800307997,2,2,2
40.171126013241,1,1,1
32.6752518056507,1,2,1
37.519176059172,1,1,2
35.9696799815504,1,2,2
19.255009408428,2,1,1
25.7603169960538,2,2,1
39.7098623334411,2,1,2
28.4625767410156,2,2,2
26.9284824935405,1,1,1
21.0259550573447,1,2,1
32.7742728269327,1,1,2
29.7721978098694,1,2,2
34.0298682992852,2,1,1
19.3648904921018,2,2,1
32.9655407813279,2,1,2
17.7432954635742,2,2,2
27.1633527625578,1,1,1
24.1767301537483,1,2,1
22.757962098078,1,1,2
27.4651626805971,1,2,2
22.9419581210014,2,2,1
23.3089481781017,2,1,2
22.6587356388271,2,2,2
22.3520101845578,1,1,1
20.4784134742801,1,2,1
19.8111515018514,1,1,2
18.8729144834359,1,2,2
19.7520493802484,2,1,1
22.5859720256631,2,2,1
28.4241052153361,2,1,2
24.6373017342971,2,2,2
31.3695511608724,1,1,1
32.2905076619676,1,2,1
30.1733019354311,1,1,2
37.9812017789272,1,2,2
26.1663533158699,2,1,1
30.348558414806,2,2,1
27.2256400431976,2,2,2
33.7267166441429,1,2,1
37.4149157183873,1,1,2
35.8551751059347,1,2,2
38.1681309993513,2,2,1
21.5541330922353,2,2,2
16.736306425941,1,1,1
23.7840195663704,1,2,1
28.7622777245105,1,1,2
27.39668159873,1,2,2
25.6710127758293,2,1,1
20.7559698636516,2,2,1
11.1980754568379,2,1,2
22.1800345620802,2,2,2
19.3918152904201,1,1,2
13.2148654382547,1,2,2
10.0109243844982,2,1,1
20.088804731134,2,2,1
7.20187090983657,1,2,1
15.1094514729009,2,2,1
16.9570082811298,2,2,2
13.1504897921443,1,2,1
24.0057993928522,1,2,2
14.6747935802291,2,1,1
9.92290861235545,2,2,1
16.1743272707752,2,1,2
19.1845940130725,2,2,2
24.5705641843155,1,1,1
29.3158262680287,1,2,1
20.3036125968514,1,1,2
20.265035260386,1,2,2
17.5206343938429,2,1,1
19.5388646492612,2,2,1
24.1782310804411,2,1,2
17.2158142664935,2,2,2
36.8443054598213,1,1,1
36.7656263909052,1,2,1
45.6058900178247,1,1,2
35.1310965465959,1,2,2
44.0203536488942,2,1,1
37.4216550301121,2,2,1
40.2770634173142,2,1,2
35.8007373195954,2,2,2
16.8403067729724,1,1,1
18.2095353344107,1,2,1
19.1351882738032,1,1,2
18.6618860941824,1,2,2
13.9522713954799,2,1,1
24.5077336077394,2,2,1
13.5769703055855,2,1,2
18.6771335113747,2,2,2
