    1  2023-12-20, 16:33:46ls
    2  2023-12-20, 16:33:52cd images
    3  2023-12-20, 16:33:53ls
    4  2023-12-20, 16:33:58cd ..
    5  2023-12-20, 16:34:01cd /
    6  2023-12-20, 16:34:03ls
    7  2023-12-20, 16:34:09cd usr/
    8  2023-12-20, 16:34:09ls
    9  2023-12-20, 16:34:49cd /
   10  2023-12-20, 16:34:49ls
   11  2023-12-20, 16:34:54cd home/
   12  2023-12-20, 16:34:54ls
   13  2023-12-20, 16:35:19cd arunimb
   14  2023-12-20, 16:35:20ls
   15  2023-12-20, 16:35:26quota -s\
   16  2023-12-20, 16:35:29quota -s
   17  2023-12-20, 16:37:34metis$ module av
   18  2023-12-20, 16:37:47metis% module av
   19  2023-12-20, 16:37:59module av
   20  2023-12-20, 16:46:33module av "cuda"
   21  2023-12-20, 16:49:50module load cuda/cuda-11.8
   22  2023-12-20, 16:52:18python -version
   23  2023-12-20, 16:52:23python3 -version
   24  2023-12-20, 16:56:11python3 -v
   25  2023-12-20, 16:56:44python3 -h
   26  2023-12-20, 16:56:51python3 -V
   27  2023-12-20, 16:57:02python -V
   28  2023-12-20, 16:57:06python3 -V
   29  2023-12-20, 16:57:09pip -V
   30  2023-12-20, 16:57:12pip -v
   31  2023-12-20, 16:57:15pip3 -v
   32  2023-12-20, 16:57:35nvidia_smi
   33  2023-12-20, 16:57:38nvidia-smi
   34  2023-12-20, 16:58:39conda list
   35  2023-12-20, 16:59:24mkdir -p ~/miniconda3
   36  2023-12-20, 16:59:32wget https://repo.anaconda.com/miniconda/Miniconda3-latest-Linux-x86_64.sh -O ~/miniconda3/miniconda.sh
   37  2023-12-20, 16:59:43bash ~/miniconda3/miniconda.sh -b -u -p ~/miniconda3
   38  2023-12-20, 17:00:14rm -rf ~/miniconda3/miniconda.sh
   39  2023-12-20, 17:00:29~/miniconda3/bin/conda init bash
   40  2023-12-20, 17:00:39exit
   41  2023-12-20, 17:02:41conda create -n tf_test python=3.11
   42  2023-12-20, 17:03:09conda deactivate
   43  2023-12-20, 17:03:19conda activate tf_test
   44  2023-12-20, 17:03:37python -V
   45  2023-12-20, 17:04:18pip install --upgrade pip
   46  2023-12-20, 17:04:37pip install tensorflow[and-cuda]
   47  2023-12-20, 17:06:30ls
   48  2023-12-20, 17:06:48mkdir inferenceTest
   49  2023-12-20, 17:06:51cd inferenceTest/
   50  2023-12-20, 17:06:52ls
   51  2023-12-20, 17:18:15python3 -c "import tensorflow as tf; print(tf.config.list_physical_devices('GPU'))"
   52  2023-12-20, 17:19:06pip install pandas
   53  2023-12-20, 17:20:01module avail
   54  2023-12-20, 19:25:52nautilus
   55  2023-12-20, 23:30:12conda tfTest
   56  2023-12-20, 23:30:19conda activate tfTest
   57  2023-12-20, 23:30:23conda activate tftest
   58  2023-12-20, 23:30:39conda info --envs
   59  2023-12-20, 23:33:00conda activate tf_test
   60  2023-12-20, 23:33:02ls
   61  2023-12-20, 23:33:07cd inferenceTest/
   62  2023-12-20, 23:33:08ls
   63  2023-12-20, 23:37:49mkdir test1
   64  2023-12-20, 23:37:53cd test1/
   65  2023-12-20, 23:38:06mkdir LSTM_inputData
   66  2023-12-20, 23:38:09cd LSTM_inputData/
   67  2023-12-20, 23:45:05cd ..
   68  2023-12-20, 23:45:06ls
   69  2023-12-20, 23:45:15python3 kFoldMultilabel_Inference.py 
   70  2023-12-20, 23:51:11cd /
   71  2023-12-20, 23:51:16ls
   72  2023-12-20, 23:51:29cd /home/
   73  2023-12-20, 23:51:31ls
   74  2023-12-20, 23:51:41cd examples/
   75  2023-12-20, 23:51:42ls
   76  2023-12-20, 23:51:51cd examples-metis/
   77  2023-12-20, 23:51:52ls
   78  2023-12-20, 23:51:59pwd
   79  2023-12-20, 23:54:30qstat
   80  2023-12-20, 23:58:51module li
   81  2023-12-20, 23:59:07module avail
   82  2023-12-20, 23:59:46module load cuda/cuda-11.8 
   83  2023-12-20, 23:59:49module li
   84  2023-12-21, 00:05:55ls
   85  2023-12-21, 00:06:07cd /home/arunimb/inferenceTest/
   86  2023-12-21, 00:06:09ls
   87  2023-12-21, 00:06:14cd test1/
   88  2023-12-21, 00:06:16ls
   89  2023-12-21, 00:06:19pwd
   90  2023-12-21, 00:07:54history
   91  2023-12-21, 00:09:01qsub QueueTensorFlowJob.pbs
   92  2023-12-21, 00:09:11qstat -a arunimb
   93  2023-12-21, 00:09:16qstat
   94  2023-12-21, 00:13:06qstat -a 5877
   95  2023-12-21, 00:13:26qstat -x 5877
   96  2023-12-21, 00:13:34qstat -H 5877
   97  2023-12-21, 00:17:19history
   98  2023-12-21, 00:24:02qsub QueueTensorFlowJob.pbs
   99  2023-12-21, 00:29:30module avail
  100  2023-12-21, 00:31:06qsub QueueTensorFlowJob.pbs
  101  2023-12-21, 00:34:39ls
  102  2023-12-21, 00:34:43cd ..
  103  2023-12-21, 00:34:44;s
  104  2023-12-21, 00:34:45ls
  105  2023-12-21, 00:34:47cd ..
  106  2023-12-21, 00:34:49ls
  107  2023-12-21, 00:35:03cd miniconda3/
