 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.43895748257637024, MaxAccuracy = 0.6511202454566956 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4174668490886688, MaxAccuracy = 0.5555555820465088 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3022405207157135, MaxAccuracy = 0.7091906666755676 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.4101508855819702, MaxAccuracy = 0.5651577711105347 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.29401007294654846, MaxAccuracy = 0.7251943349838257 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.5002286434173584, MaxAccuracy = 0.57110196352005 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.6026520133018494, MaxAccuracy = 0.6026520133018494 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.4508458971977234, MaxAccuracy = 0.721993625164032 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.5569273233413696, MaxAccuracy = 0.722908079624176 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.35939642786979675, MaxAccuracy = 0.6524919867515564 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.4242038130760193, MaxAccuracy = 0.7019108533859253 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.46815288066864014, MaxAccuracy = 0.7089172005653381 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.45095542073249817, MaxAccuracy = 0.6363057494163513 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.39299362897872925, MaxAccuracy = 0.6089171767234802 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.45987260341644287, MaxAccuracy = 0.631210207939148 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.45286625623703003, MaxAccuracy = 0.7050955295562744 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.38726115226745605, MaxAccuracy = 0.6171974539756775 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.5420382022857666, MaxAccuracy = 0.7044585943222046 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.4159235656261444, MaxAccuracy = 0.709554135799408 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.45031848549842834, MaxAccuracy = 0.6305732727050781 
 Window Size = 5, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.3806094229221344, MaxAccuracy = 0.501939058303833 
 Window Size = 5, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.36786702275276184, MaxAccuracy = 0.5274237990379333 
 Window Size = 5, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.37728533148765564, MaxAccuracy = 0.5279778242111206 
