 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.39829397201538086 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.5479002594947815 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3897637724876404 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.5013123154640198 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.34264883399009705 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.6573511362075806 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.6330498456954956 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.34264883399009705 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.6588735580444336 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.2879914939403534 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.6025505065917969 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.2879914939403534 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.7861770987510681 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.7883369326591492 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.6501079797744751 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.7775378227233887 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.447826087474823 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.6666666865348816 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3318840563297272 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3318840563297272 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.32154881954193115 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.32154881954193115 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.680134654045105 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.32154881954193115 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.6895674467086792 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.6895674467086792 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3104325830936432 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.6895674467086792 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.3350515365600586 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.5850515365600586 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.33569586277008057 
 Window Size = 5, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3859536051750183 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.25547945499420166 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.36986300349235535 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.25547945499420166 
 Window Size = 5, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.25547945499420166 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.5356125235557556 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.44301995635032654 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.34472933411598206 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3632478713989258 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.2661290466785431 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4717741906642914 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.2661290466785431 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.4529569745063782 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.3432203531265259 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.36016950011253357 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.34533897042274475 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.5381355881690979 
