Time (s),x (pixels),y (pixels)
0,125,942
0,133,942
0,130,950
0,138,953
0,141,947
0,146,944
0,147,940
0,144,935
0,144,931
0,150,926
0,153,919
0,139,914
0,137,913
0,134,911
0,138,910
0,126,913
0,126,915
0,125,916
0,127,912
0,126,902
0,126,902
0,119,908
0,119,911
0,121,909
0,120,919
0,107,916
0,106,924
0,91,926
0,89,931
0,106,933
0,105,937
0,102,940
1,158,897
1,812,983
1,1109,774
1,1700,790
1,1959,551
1,2206,543
1,2294,451
1,2333,465
1,2334,464
1,2333,427
1,2327,427
1,2324,410
1,2309,418
1,2303,413
1,2291,422
1,2275,408
1,2252,418
1,2218,405
1,2265,333
1,2311,305
1,2347,244
1,2340,238
1,2315,267
1,2295,263
1,2265,294
1,2253,297
1,2230,297
1,2192,285
1,2170,305
1,2153,307
1,2134,326
1,2059,317
1,2049,328
1,2069,320
1,2049,337
1,2020,327
1,1985,343
1,1934,310
1,1923,308
1,1902,303
1,1893,312
1,1871,298
1,1869,303
1,1860,302
1,1851,310
1,1841,308
1,1833,318
1,1825,315
1,1824,319
1,1811,308
1,1813,308
1,1805,303
1,1802,308
1,1797,299
1,1817,287
1,1838,297
1,1841,292
1,1833,282
1,1824,288
1,1802,274
1,1800,281
1,1795,278
1,1797,279
1,1795,280
2,1793,276
2,1783,266
2,1783,274
2,1761,253
2,1763,248
2,1766,254
2,1767,255
2,1774,257
2,1773,259
2,1772,254
2,1770,255
2,1763,243
2,1762,242
2,1766,250
2,1763,248
2,1766,250
2,1766,253
2,1765,245
2,1764,247
2,1770,252
2,1769,249
2,1768,248
2,1766,252
2,1772,259
2,1769,260
2,1771,270
2,1773,270
2,1775,270
2,1776,266
2,1785,276
2,1786,275
2,1805,294
2,1805,292
2,1806,291
2,1804,297
2,1809,302
2,1811,296
2,1815,299
2,1814,304
2,1812,306
2,1812,306
2,1812,307
2,1812,304
2,1819,308
2,1814,318
2,1812,315
2,1807,319
2,1808,317
2,1813,311
2,1813,312
2,1814,313
2,1804,303
2,1804,303
2,1783,282
2,1786,282
2,1779,271
2,1780,267
2,1778,263
2,1777,269
2,1769,260
2,1767,260
2,1765,254
2,1758,258
2,1748,252
3,1744,257
3,1751,260
3,1750,262
3,1751,262
3,1742,276
3,1733,308
3,1744,450
3,1727,604
3,1721,616
3,1735,615
3,1729,616
3,1742,627
3,1754,635
3,1747,638
3,1748,641
3,1758,651
3,1757,648
3,1767,656
3,1764,659
3,1774,668
3,1772,670
3,1774,673
3,1772,675
3,1778,681
3,1778,681
3,1778,685
3,1684,718
3,1525,656
3,1524,657
3,1518,658
3,1518,660
3,1519,659
3,1520,658
3,1517,662
3,1514,667
3,1511,672
3,1524,666
3,1669,695
3,1902,563
3,2162,664
3,2306,-73
3,2368,-122
3,2323,-507
3,2097,645
3,1374,176
3,1586,307
3,1881,123
3,2544,235
3,2499,298
3,2475,309
3,2437,342
3,2422,327
3,2387,357
3,2374,335
3,2352,355
3,2337,342
3,2316,363
3,2305,348
3,2291,368
3,2281,354
3,2288,373
3,2280,359
3,2274,374
3,2271,359
4,2275,354
4,2286,363
4,2348,271
4,2352,258
4,2354,251
4,2350,252
4,2351,245
4,2344,243
4,2337,249
4,2334,249
4,2323,260
4,2321,261
4,2318,262
4,2319,266
4,2316,272
4,2317,273
